ml_score,tilt,distance,label
1.07E-06,20.77001773,0,LOW
0.000744639,20.3218792,0,LOW
0.001164747,17.53074628,0,LOW
0.000481039,16.04751149,0,LOW
0.002559356,14.69458151,0,LOW
0.17562515,12.51731111,0,LOW
0.09337074,10.18441133,0,LOW
0.5677787,8.672397063,0,MED
0.14406618,7.961762166,0,LOW
0.018885856,7.112216939,0,LOW
0.001217012,173.0455137,0,LOW
0.000108833,173.1158254,0,LOW
2.65E-05,173.1867289,0,LOW
0.002634013,174.4339697,0,LOW
0.000384283,176.0819373,0,LOW
2.68E-05,175.7906419,0,LOW
0.0672158,176.6851933,0,LOW
0.002872472,177.6042194,0,LOW
6.43E-05,176.0510615,0,LOW
0.04592448,176.9959704,0,LOW
9.26E-05,177.5277689,0,LOW
1.80E-05,178.6429012,0,LOW
5.76E-06,1.39562582,0,LOW
2.77E-06,1.460438841,0,LOW
0.0634869,0.241117542,0,LOW
0.001516924,2.519373022,0,LOW
0.9965885,3.991228158,0,HIGH
0.9934768,5.462118968,0,HIGH
0.018235529,6.978934274,0,LOW
0.041402817,7.189721846,0,LOW
0.11660501,7.681196054,0,LOW
0.015114422,8.117436565,0,LOW
0.006419219,7.299203114,0,LOW
0.003996269,6.749692515,0,LOW
0.003897334,6.980503393,0,LOW
2.08E-06,7.025222074,0,LOW
3.45E-05,7.130158945,0,LOW
0.000643594,7.090193869,0,LOW
0.000287922,6.451582062,0,LOW
4.76E-07,6.695570923,0,LOW
3.12E-05,7.061367388,0,LOW
5.19E-05,7.674235175,0,LOW
0.12575467,8.589120525,0,LOW
0.001654523,9.236440693,0,LOW
0.18752447,9.337095859,0,LOW
0.018213257,10.15372262,0,LOW
0.007804885,11.01270478,0,LOW
0.95959723,10.99913677,0,HIGH
0.9971747,11.32763327,0,HIGH
0.9787584,11.8611008,0,HIGH
0.23526493,11.80410444,0,LOW
0.001774168,11.78077296,0,LOW
0.003124186,12.11235356,0,LOW
0.00079554,168.3024271,0,LOW
0.008110219,168.1357393,0,LOW
0.009734574,168.2155031,0,LOW
0.003883796,168.2657372,0,LOW
0.35811478,11.99370914,0,LOW
0.000939072,11.80022353,0,LOW
0.000526516,168.7793328,0,LOW
0.006476796,168.6339427,0,LOW
1.17E-05,168.2278522,0,LOW
2.91E-05,168.0725814,0,LOW
0.000255743,168.6584698,0,LOW
0.001949523,168.5636467,0,LOW
0.001421773,169.3190259,0,LOW
0.02077938,10.40936542,0,LOW
1.15E-05,9.41266897,0,LOW
0.75034887,9.700638919,0,MED
0.9964383,10.51203568,0,HIGH
0.9987071,11.75037656,0,HIGH
0.99686515,11.92362936,0,HIGH
0.992269,11.54380758,0,HIGH
0.22734818,11.35662838,0,LOW
0.000435406,11.19394397,0,LOW
0.000162384,10.91322821,0,LOW
0.000567203,10.89634953,0,LOW
0.001022775,11.78259776,0,LOW
0.001006529,11.41015226,0,LOW
8.88E-06,11.99152167,0,LOW
2.11E-06,11.8027718,0,LOW
1.45E-06,12.03648317,0,LOW
5.71E-08,11.8992521,0,LOW
6.28E-07,11.93576935,0,LOW
5.30E-06,12.13379337,0,LOW
1.61E-06,12.04492411,0,LOW
1.67E-06,11.78472982,0,LOW
2.43E-05,11.21130314,0,LOW
5.52E-05,8.736860051,0,LOW
0.11404302,0.872138985,0,LOW
0.030695349,5.566949767,0,LOW
0.000220476,13.2110152,0,LOW
0.001214213,19.61858918,0,LOW
0.000190735,22.15864495,0,LOW
0.000919967,23.40489009,0,LOW
0.00046917,23.86267774,0,LOW
0.124443084,25.62248994,0,LOW
0.07501892,26.31322352,0,LOW
0.000301174,25.54316009,0,LOW
0.000422394,25.51613956,0,LOW
3.85E-06,24.3767244,0,LOW
3.16E-05,23.9410703,0,LOW
1.29E-05,23.8460277,0,LOW
0.002241922,23.05280345,0,LOW
0.000308133,23.43708595,0,LOW
0.003662858,23.62692951,0,LOW
9.08E-06,23.74544943,0,LOW
4.30E-05,23.50408379,0,LOW
0.000679193,23.50910929,0,LOW
0.000905631,24.07320079,0,LOW
0.000196893,24.78743631,0,LOW
0.000176328,24.8327427,0,LOW
9.58E-05,25.79891237,0,LOW
0.006903452,27.61808881,0,LOW
0.000817475,27.93534736,0,LOW
4.14E-05,28.15119709,0,LOW
8.02E-05,28.55507128,0,LOW
6.64E-05,28.27780641,0,LOW
9.77E-05,28.15076699,0,LOW
4.58E-06,28.36497774,0,LOW
0.03208167,27.46130922,0,LOW
0.9791688,24.84404628,0,HIGH
0.2482207,20.85766909,0,LOW
0.8395343,17.76684671,0,HIGH
0.007983273,10.39342093,0,LOW
0.060620945,6.361602041,0,LOW
0.022103889,3.230007001,0,LOW
4.43E-05,0.428139813,0,LOW
0.000172872,1.586858415,0,LOW
8.25E-05,3.760370511,0,LOW
0.019116554,5.151729802,0,LOW
0.49774453,7.743603019,0,MED
0.92666644,8.817660961,0,HIGH
0.017946163,10.79698875,0,LOW
0.006932398,11.20959428,0,LOW
0.056067303,10.16084305,0,LOW
0.28577086,9.94502321,0,LOW
0.09621319,10.36737493,0,LOW
0.036684256,9.139857458,0,LOW
0.08863038,8.678440377,0,LOW
0.4929117,9.104737364,0,MED
0.04293421,8.90348861,0,LOW
0.05819137,8.400954508,0,LOW
0.46876037,8.098535403,0,MED
2.89E-06,7.574453088,0,LOW
0.34096894,7.412149133,0,LOW
0.001593673,6.997264707,0,LOW
9.52E-05,6.864211591,0,LOW
0.15185978,7.019854799,0,LOW
0.2529754,6.660209827,0,LOW
0.001284388,6.334830449,0,LOW
0.000875361,6.418818597,0,LOW
2.96E-05,6.477754269,0,LOW
0.000146363,6.264628109,0,LOW
0.000204377,6.313547893,0,LOW
0.000606866,6.548345031,0,LOW
0.052213933,6.040301054,0,LOW
8.38E-05,4.729437941,0,LOW
3.36E-06,4.654118338,0,LOW
0.005321746,4.310582803,0,LOW
0.008767762,3.827189141,0,LOW
0.000663315,1.92332039,0,LOW
0.037549317,0.754828971,0,LOW
0.006119501,0.177518666,0,LOW
4.06E-06,1.802949277,0,LOW
5.81E-05,2.844247102,0,LOW
9.75E-05,3.407243866,0,LOW
0.002480857,4.032535808,0,LOW
0.004932927,4.140493789,0,LOW
0.3938265,3.787196483,0,LOW
0.0010431,3.328199679,0,LOW
0.15256222,3.900747664,0,LOW
0.000350851,3.421377865,0,LOW
0.9216908,2.761677187,0,HIGH
0.99217784,2.93190848,0,HIGH
0.2923823,2.825128687,0,LOW
0.74417615,2.483478745,0,MED
0.012582637,2.028203368,0,LOW
0.000408525,1.054129767,0,LOW
0.001629733,0.978804224,0,LOW
0.000323995,0.285313943,0,LOW
6.87E-05,0.374685399,0,LOW
1.23E-05,0.040271222,0,LOW
4.92E-05,0.335735184,0,LOW
0.000112335,0.62884937,0,LOW
0.00496763,0.026884481,0,LOW
0.000111055,0.424280723,0,LOW
0.0012152,0.178336336,0,LOW
0.000544952,0.114040417,0,LOW
0.000675711,0.309605461,0,LOW
3.27E-05,0.474491874,0,LOW
0.000175285,0.518489633,0,LOW
0.1516919,0.438463554,0,LOW
2.91E-05,0.556209594,0,LOW
0.003698682,0.866586863,0,LOW
0.01822433,1.180515231,0,LOW
0.022128185,0.97835755,0,LOW
0.009375622,1.11781552,0,LOW
5.39E-05,0.855257712,0,LOW
0.000169628,0.962579414,0,LOW
0.005564518,0.676459375,0,LOW
0.003244774,0.785505127,0,LOW
0.00189061,0.77299565,0,LOW
0.00147299,1.058010526,0,LOW
0.04166604,1.080838854,0,LOW
0.005417514,1.227834904,0,LOW
0.002916345,1.019365887,0,LOW
0.000154881,1.189942418,0,LOW
0.014188737,1.280032129,0,LOW
0.033586614,1.336117679,0,LOW
0.015137496,1.347091418,0,LOW
0.005657229,1.124665711,0,LOW
0.062282313,0.662957772,0,LOW
0.005980551,0.8896938,0,LOW
0.00631639,1.108931721,0,LOW
0.001967152,1.050894634,0,LOW
0.011460417,1.252438923,0,LOW
0.010668907,1.043690253,0,LOW
0.000369582,1.445500943,0,LOW
0.005237493,1.334016688,0,LOW
0.00205334,1.22829015,0,LOW
0.046652246,1.438021596,0,LOW
0.006744308,1.113998835,0,LOW
0.001601233,0.991399819,0,LOW
0.042278793,1.014237626,0,LOW
0.033957213,1.070619305,0,LOW
0.010028079,1.139297216,0,LOW
0.00905781,0.780827597,0,LOW
0.000854379,0.989358912,0,LOW
0.001044137,1.131346532,0,LOW
0.00014428,0.931095599,0,LOW
5.58E-05,1.261769356,0,LOW
3.90E-05,1.113287264,0,LOW
7.73E-05,1.231138736,0,LOW
0.001402952,2.15229589,0,LOW
0.00809045,2.368567532,0,LOW
0.009340628,2.437928095,0,LOW
0.058809064,2.257480962,0,LOW
4.31E-05,2.986834732,0,LOW
0.02511801,2.26574514,0,LOW
0.000729537,2.219496153,0,LOW
0.004754376,2.153689265,0,LOW
0.000888239,2.197295826,0,LOW
0.001423537,2.837995235,0,LOW
8.95E-08,3.286639031,0,LOW
0.001072411,3.531623399,0,LOW
0.000268249,2.378982449,0,LOW
0.001836545,0.810024605,0,LOW
1.02E-06,0.273310507,0,LOW
2.29E-06,0.056027647,0,LOW
0.000429467,0.187878025,0,LOW
0.000846678,0.214105071,0,LOW
0.000544965,0.625293545,0,LOW
0.000520697,0.210682053,0,LOW
0.051457163,0.470149426,0,LOW
0.0017858,0.326290186,0,LOW
0.003416413,0.503525577,0,LOW
0.000408161,0.255214896,0,LOW
0.001186122,0.418011257,0,LOW
0.00021587,0.785380004,0,LOW
0.000414274,0.634172373,0,LOW
0.000512438,0.814581034,0,LOW
1.96E-05,0.792595415,0,LOW
9.93E-05,0.778909847,0,LOW
0.002340817,1.377271449,0,LOW
0.000261185,1.211127762,0,LOW
3.40E-05,0.992233718,0,LOW
0.000217288,1.043707181,0,LOW
3.74E-05,1.112322248,0,LOW
0.000174881,0.990888038,0,LOW
0.001702735,1.048268764,0,LOW
0.006819296,0.921502609,0,LOW
0.003763275,0.77971717,0,LOW
0.04505384,0.981388996,0,LOW
0.02032882,0.896707418,0,LOW
0.000262887,1.073063304,0,LOW
0.019121515,0.823545914,0,LOW
0.000928819,0.776880286,0,LOW
0.015553259,0.847273933,0,LOW
0.003045432,1.372130561,0,LOW
0.000143702,2.527738756,0,LOW
6.48E-05,4.233868982,0,LOW
0.000236134,6.708219231,0,LOW
0.920526,11.62347241,0,HIGH
0.029434668,14.29306429,0,LOW
0.007308256,17.62046476,0,LOW
0.45182538,19.83232935,0,MED
0.9813274,23.97909905,0,HIGH
0.8364158,25.23347889,0,HIGH
0.9847661,26.32716245,0,HIGH
0.003669047,29.13289302,0,LOW
0.032692455,30.25509019,0,LOW
0.002948148,32.72434856,0,LOW
0.04379729,33.89025984,0,LOW
0.001735218,32.66644033,0,LOW
0.000729663,34.29981314,0,LOW
0.000458718,31.67442582,0,LOW
0.008241728,33.4172332,0,LOW
0.004684154,29.81964012,0,LOW
0.9384552,26.31875327,0,HIGH
0.99443465,26.3787285,0,HIGH
0.6825681,21.14532381,0,MED
0.96314466,18.9582844,0,HIGH
0.000494821,16.32931647,0,LOW
0.002199908,12.93682677,0,LOW
0.21142814,10.67441837,0,LOW
0.006303107,6.702010337,0,LOW
0.003567569,4.933106717,0,LOW
0.004363944,4.033632678,0,LOW
0.006800143,3.270798591,0,LOW
0.012320325,3.424288394,0,LOW
1.07E-05,4.592304349,0,LOW
0.00060794,5.29769654,0,LOW
2.69E-06,5.716431263,0,LOW
1.10E-05,5.862623565,0,LOW
2.59E-08,5.762641733,0,LOW
2.74E-07,5.891423422,0,LOW
1.11E-07,5.870892031,0,LOW
1.00E-08,6.223898273,0,LOW
6.85E-08,4.679557166,0,LOW
2.96E-11,4.596587374,0,LOW
1.22E-11,4.399640687,0,LOW
2.05E-10,4.636628738,0,LOW
1.23E-08,4.863143674,0,LOW
2.22E-11,4.267781288,0,LOW
3.18E-13,4.926536464,0,LOW
1.02E-11,2.178600014,0,LOW
3.83E-13,9.65920206,0,LOW
2.30E-11,11.18175403,0,LOW
3.36E-10,13.25857541,0,LOW
1.94E-07,15.32521419,0,LOW
3.64E-09,151.8682166,0,LOW
2.37E-07,154.9540708,0,LOW
8.81E-08,22.94545424,0,LOW
5.46E-09,24.61777698,0,LOW
8.62E-08,24.97483307,0,LOW
7.77E-07,152.0666793,0,LOW
7.69E-06,21.25064134,0,LOW
2.01E-06,18.88068213,0,LOW
0.9908333,17.60582802,0,HIGH
0.96615094,15.21899198,0,HIGH
0.003697034,11.32736804,0,LOW
0.0958231,8.311675586,0,LOW
2.57E-05,6.469584884,0,LOW
0.01029761,3.719536234,0,LOW
0.03251429,2.636499842,0,LOW
0.022312196,1.790717526,0,LOW
0.026667897,0.646879738,0,LOW
0.009879021,0.17271377,0,LOW
0.011895873,0.163084664,0,LOW
0.066182174,0.188288653,0,LOW
0.011563474,0.005094628,0,LOW
0.007829797,0.502202101,0,LOW
0.000219104,0.307683917,0,LOW
0.002659017,0.493365594,0,LOW
0.003886452,0.691455905,0,LOW
0.007484909,0.162226015,0,LOW
0.003130998,0.372892279,0,LOW
0.026443293,0.136843496,0,LOW
0.08867575,0.136843496,0,LOW
0.0092199,0.255063805,0,LOW
0.1644355,0.340972594,0,LOW
0.20206289,0.474316163,0,LOW
0.06553475,0.294615273,0,LOW
0.000166625,0.779935397,0,LOW
0.004275652,1.000091722,0,LOW
0.002183663,4.95592953,0,LOW
0.034971923,9.095409954,0,LOW
0.001668803,13.70234549,0,LOW
0.000395008,18.25686608,0,LOW
0.77833956,23.16939005,0,MED
0.92941976,25.17746319,0,HIGH
0.6863328,26.99969427,0,MED
0.18829128,29.01641519,0,LOW
0.72616965,29.48897168,0,MED
0.72894275,29.53630657,0,MED
0.09627648,29.29741559,0,LOW
0.17750335,28.81124637,0,LOW
0.040545035,28.63129392,0,LOW
0.6069914,26.48913501,0,MED
0.9872222,20.60901521,0,HIGH
0.43725836,16.80893759,0,MED
3.75E-05,12.55185279,0,LOW
0.000858426,8.354923984,0,LOW
0.003977974,5.898595085,0,LOW
0.000328674,4.892737602,0,LOW
4.52E-07,2.897994521,0,LOW
1.59E-05,2.361042931,0,LOW
6.79E-05,2.201111025,0,LOW
0.001408287,2.028260875,0,LOW
0.001538712,0.637599608,0,LOW
5.67E-06,0.344692532,0,LOW
2.31E-08,2.362507087,0,LOW
1.72E-05,1.28368625,0,LOW
5.72E-11,0.180787433,0,LOW
1.94E-10,0.100257573,0,LOW
1.65E-11,176.2401516,0,LOW
1.29E-10,179.1797921,0,LOW
1.87E-09,0.289816401,0,LOW
9.28E-06,178.0131289,0,LOW
1.13E-12,2.344345272,0,LOW
1.22E-11,3.15183686,0,LOW
6.00E-08,3.25166175,0,LOW
2.33E-12,3.639533194,0,LOW
3.40E-13,4.111838204,0,LOW
1.24E-09,4.471724198,0,LOW
1.14E-09,4.976385923,0,LOW
2.24E-09,5.664130045,0,LOW
1.17E-08,5.645002305,0,LOW
3.82E-08,6.974322024,0,LOW
2.08E-09,6.854582757,0,LOW
7.95E-10,7.318728239,0,LOW
1.54E-09,7.480512788,0,LOW
1.54E-09,6.884219564,0,LOW
1.54E-09,6.708729391,0,LOW
1.54E-09,6.83890957,0,LOW
1.54E-09,6.083682478,0,LOW
1.54E-09,5.944114105,0,LOW
1.54E-09,5.795840633,0,LOW
1.54E-09,6.300955664,0,LOW
1.54E-09,6.551960641,0,LOW
1.54E-09,6.597835341,0,LOW
1.54E-09,6.795081805,0,LOW
1.54E-09,6.707895554,0,LOW
1.54E-09,7.004586168,0,LOW
1.54E-09,7.280849865,0,LOW
1.54E-09,8.005283463,0,LOW
1.54E-09,7.999430003,0,LOW
1.54E-09,7.649510752,0,LOW
1.54E-09,7.75843747,0,LOW
1.54E-09,8.363893295,0,LOW
1.54E-09,8.63355841,0,LOW
1.54E-09,8.311279199,0,LOW
1.54E-09,9.36431828,0,LOW
1.54E-09,9.732305741,0,LOW
1.54E-09,10.80227604,0,LOW
1.54E-09,10.93719039,0,LOW
1.54E-09,11.40007738,0,LOW
1.54E-09,11.18101361,0,LOW
1.54E-09,11.73190748,0,LOW
1.54E-09,11.42269693,0,LOW
1.54E-09,11.03676555,0,LOW
1.54E-09,10.84160691,0,LOW
1.54E-09,10.34446751,0,LOW
1.54E-09,10.31272609,0,LOW
1.54E-09,9.260932619,0,LOW
1.54E-09,9.452913683,0,LOW
1.54E-09,8.728395842,0,LOW
1.54E-09,8.332476223,0,LOW
1.54E-09,8.207928133,0,LOW
1.54E-09,7.885154543,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.854960694,0,LOW
1.54E-09,7.132630799,0,LOW
1.54E-09,6.910713992,0,LOW
1.54E-09,7.443397925,0,LOW
1.54E-09,6.263131408,0,LOW
1.54E-09,7.632681333,0,LOW
0.041806478,6.6214294,0,LOW
0.041806478,6.864236871,0,LOW
0.3690046,6.912105258,0,LOW
0.86083853,8.2286028,0,HIGH
0.019204853,6.971397738,0,LOW
0.77081263,5.999019053,0,MED
0.12541747,4.934523103,0.001917999,LOW
0.95870525,3.519847949,0.002686486,HIGH
0.17947654,2.774882309,0.001130726,LOW
0.93847585,2.252165584,0,HIGH
0.9994286,1.939817256,0,HIGH
0.9998882,1.379505645,0,HIGH
